,Freq
excel_VV,1
excited_JJ,1
excuse_NN,1
excuse_NNS,1
executive_NNS,1
expand_VV,1
experience_NN,1
explain_VV,1
extracurricular_JJ,1
extreme_JJ,1
face_NN,1
face_VVD,1
fact_NN,1
faculty_NN,1
Fannie_NP,1
far_RB,1
fate_NNS,1
father_NN,1
favor_NN,1
feel_VVD,1
feel_VVZ,1
Ferguson_NP,1
few_JJR,1
field_NN,1
field_NNS,1
fiery_JJ,1
fifty_NNS,1
fight_NN,1
fight_VV,1
fight_VVD,1
file_VVN,1
finally_RB,1
find_VVD,1
find_VVN,1
finger_NNS,1
first_RB,1
five-feet-four-inches_NNS,1
flip_VV,1
follow_VV,1
fool_NN,1
foolish_JJ,1
foolishness_NN,1
foot_NN,1
foot_NNS,1
force_NN,1
Force_NP,1
former_JJ,1
formerly_RB,1
Fortune_NP,1
forward_RB,1
Frederick_NP,1
Freedman_NP,1
freshman_NNS,1
frustrating_JJ,1
fulfill_VV,1
full-time_RB,1
full_JJ,1
future_NN,1
G._NP,1
gain_NNS,1
gap_NNS,1
gay_JJ,1
general_NN,1
get_VVZ,1
gifted_JJ,1
give_VVN,1
gladly_RB,1
go_VVN,1
go_VVP,1
go_VVZ,1
good_JJS,1
good_NN,1
government_NN,1
graduate_VVN,1
graduate_VVP,1
graduate_VVZ,1
grandmother_NN,1
great_JJS,1
Greek_JJ,1
ground_NN,1
group_NN,1
grow_VV,1
grow_VVN,1
guarantee_VV,1
guard_NN,1
guess_VV,1
guess_VVN,1
guy_NNS,1
hairstyle_NNS,1
Hamer_NP,1
Hamilton_NP,1
handy_JJ,1
Hansberry_NP,1
happen_VVN,1
happily_RB,1
Harriet_NP,1
Harvard_NP,1
hashtags_NNS,1
hatred_NN,1
head_NN,1
health_NN,1
help_VV,1
heritage_NN,1
hero_NN,1
hip_JJ,1
hitch_VVP,1
HoChi_NP,1
hockey_NN,1
hold_VV,1
hold_VVD,1
hold_VVZ,1
homeless_JJ,1
hometown_NN,1
homework_NN,1
honest_JJ,1
honor_NN,1
honorary_JJ,1
hop_NN,1
hope_VVP,1
host_VVD,1
hot_JJ,1
humor_NN,1
Hurston_NP,1
hurt_VVG,1
Hustle_NP,1
I._NP,1
icon_NN,1
ideological_JJ,1
ignorant_JJ,1
imagination_NNS,1
immigrant_NN,1
immigrant_NNS,1
important_JJ,1
improve_VVD,1
inaugural_JJ,1
incarcerate_VVN,1
incarceration_NN,1
include_VV,1
include_VVG,1
incredibly_RB,1
indicator_NN,1
individual_JJ,1
individual_NNS,1
industry_NN,1
inequality_NN,1
inspire_VVN,1
instead_RB,1
institution_NN,1
instrument_NN,1
integrity_NN,1
intellectual_JJ,1
intention_NNS,1
interconnect_VVN,1
intern_VVD,1
intractable_JJ,1
invest_VVN,1
Iowa_NP,1
IRA_NN,1
Iron_NP,1
jail_NN,1
jail_NNS,1
James_NP,1
jar_NN,1
Jefferson_NP,1
jellybean_NNS,1
Jim_NP,1
job_NNS,1
Johnson_NP,1
join_VVD,1
joke_NN,1
joke_VV,1
Jordan_NP,1
judge_NNS,1
juggle_VVG,1
keep_VVD,1
Kendrick_NP,1
kid_NNS,1
kind_NN,1
Lakers_NP,1
Lamar_NP,1
large_JJ,1
large_JJR,1
large_JJS,1
Larry_NP,1
lasting_JJ,1
late_RB,1
law_NNS,1
Law_NP,1
lawsuit_NNS,1
lead_VV,1
lead_VVD,1
lead_VVN,1
learn_VVP,1
legacy_NN,1
legion_NNS,1
legislation_NN,1
less_RBR,1
let_VVD,1
letter_NN,1
level_NN,1
lifelong_JJ,1
lifetime_NN,1
lift_VVN,1
light_NNS,1
like_VV,1
likely_JJ,1
likely_JJR,1
Lincoln_NP,1
listen_VVD,1
litmus_NN,1
little_RB,1
live_VVD,1
live_VVP,1
lock_VV,1
London_NP,1
long_RB,1
look_NN,1
look_VVD,1
Lorraine_NP,1
lose_VVD,1
lot_NN,1
Lou_NP,1
love_VVD,1
love_VVP,1
low-level_JJ,1
low_JJR,1
luck_NN,1
lull_VV,1
lunch_NN,1
M._NP,1
main_JJ,1
make_VVG,1
make_VVP,1
mambo_NN,1
manual_NN,1
march_NN,1
march_NNS,1
march_VVD,1
marcher_NNS,1
mark_VVD,1
marriage_NN,1
mass_JJ,1
math_NN,1
mayor_NNS,1
mean_NNS,1
mean_VV,1
measure_NN,1
meet_VVP,1
member_NNS,1
mention_VVN,1
mentor_NN,1
Michael_NP,1
middle-aged_JJ,1
middle_JJ,1
midterm_NNS,1
mile_NNS,1
milepost_NNS,1
mind_VV,1
mine_JJ,1
mine_NN,1
minute_NNS,1
mission_NN,1
Mississippi_NP,1
mobilize_VV,1
model_NNS,1
money_NN,1
month_NNS,1
mortality_NN,1
mother_NNS,1
mouth_NNS,1
move_VVP,1
Mr._NP,1
much_JJ,1
mule_NN,1
NAACP_NP,1
name_VVN,1
national_JJ,1
National_NP,1
nationality_NN,1
Neale_NP,1
near_JJ,1
need_VVZ,1
Nepalese_JJ,1
New_NP,1
news_NN,1
next_JJ,1
no_RB,1
Nobel_NP,1
nobody_NN,1
note_VV,1
notion_NN,1
Obama_NP,1
obscenity_NN,1
obstacle_NNS,1
obviously_RB,1
occur_VV,1
occur_VVN,1
ocean_NNS,1
offensive_JJ,1
offer_VV,1
office_NN,1
oil_NN,1
okay_RB,1
old-heads_VVZ,1
one-party_JJ,1
open_VVG,1
open_VVN,1
opportunity_NN,1
optimistic_JJ,1
option_NNS,1
oratory_NN,1
order_NN,1
organization_NN,1
organization_NNS,1
organize_VVG,1
organized_JJ,1
organizer_NNS,1
other_NNS,1
overall_JJ,1
overcome_VVD,1
overcrowd_VVN,1
overseas_RB,1
overturn_VV,1
overwhelming_JJ,1
owner_NNS,1
Packnett_NP,1
Panther_NP,1
party_NN,1
pass_VVP,1
pay_VVN,1
pay_VVZ,1
Peace_NP,1
peeve_NN,1
pend_VVG,1
period_NN,1
persist_VV,1
persistence_NN,1
perspective_NN,1
pet_JJ,1
photo_NNS,1
phrase_NN,1
picker_NNS,1
pipeline_NN,1
place_NNS,1
place_VVG,1
plant_NN,1
play_VVD,1
player_NN,1
plenty_NN,1
pocket_NN,1
point_VVD,1
police_VVG,1
Policing_NP,1
politician_NNS,1
poor_NN,1
position_VVN,1
post-racial_JJ,1
powerless_JJ,1
practice_NN,1
practice_VVG,1
prayer_NN,1
pregnancy_NN,1
prepare_VVG,1
prepare_VVN,1
present_VV,1
president_NN,1
president_NNS,1
pressure_VVG,1
prison_NN,1
Prize_NP,1
problem_NN,1
problem_NNS,1
process_NN,1
proclamation_NN,1
Proclamation_NP,1
producer_NNS,1
professional_NNS,1
profil_VVG,1
program_NN,1
promise_VVD,1
promise_VVP,1
propagate_VVG,1
prosecutor_NNS,1
protest_NN,1
protester_NNS,1
purpose_NN,1
pursue_VV,1
push_VVD,1
put_VVG,1
Quad_NP,1
quality_NNS,1
quarterback_NN,1
Queen_NP,1
question_VV,1
question_VVD,1
quick_JJ,1
quote_NN,1
race_NNS,1
race_VVP,1
racist_JJ,1
raise_VVN,1
rally_NN,1
rally_VVG,1
Rap_NP,1
ready_JJ,1
real_JJ,1
reality_NN,1
realization_NN,1
realize_VV,1
realize_VVD,1
realize_VVP,1
really_RB,1
reason_NN,1
rebut_VV,1
receive_VVD,1
recession_NN,1
recipient_NNS,1
record_NN,1
recover_VVN,1
reelect_VVN,1
reflect_VVP,1
reform_NN,1
reform_NNS,1
reform_VV,1
refugee_NN,1
refuse_VVN,1
register_VV,1
relation_NNS,1
religion_NN,1
remain_VVN,1
remain_VVP,1
remark_NNS,1
remark_VVD,1
renaissance_NN,1
repeal_VVN,1
representative_JJ,1
representative_NNS,1
Republican_JJ,1
require_VVG,1
require_VVN,1
responsibility_NNS,1
restaurant_NN,1
retirement_NN,1
return_VV,1
